Id,Price
4836,247787.5576176799
6456,180798.97703133285
11838,76737.6405193029
11567,339677.1160351358
6607,145806.95841447622
3260,169706.81608792968
4834,220239.3067455502
7319,147432.05106947097
6675,215269.02622327034
4637,435873.3958108373
9778,142217.21134785467
6661,99875.08518900356
4135,91964.80469149581
9924,231422.92393351824
6663,188336.62688914972
14316,191391.01138111996
4475,158577.36532334762
14681,218117.23623901154
4176,184130.39127239864
15254,206999.82185235352
8301,205693.91584245372
9133,206873.3926868753
8155,246774.29334593704
15561,153462.58811679762
8872,147512.19225847806
12053,150513.38181192163
13967,179684.56121336482
3493,177203.49394030147
9553,166860.71836761452
15857,279379.9349480007
2984,148480.08846784214
15453,145794.4703514318
16709,220787.79838217533
6112,207636.75565543046
10281,203978.9802447831
9887,175344.66326456208
8593,151101.8255366048
3770,151629.95222116116
11529,141576.79033183085
15299,120964.67876954915
8910,221882.0577377679
9928,146887.47644079156
2558,144169.25402205778
3068,238452.99213109235
16555,150102.16541616246
2809,211238.8305347392
16195,149018.40242184373
10136,148991.10182073532
14089,167972.72529845298
5399,253896.9323114311
6247,150920.16262467057
9825,232483.67169165632
12688,220341.79216821358
14853,211587.37832780782
1402,208946.30525316094
7055,209385.78779834113
10373,144780.9869401805
7899,142932.3609080623
5705,199754.0080247935
14032,148339.80891359385
9942,303211.6746552234
16764,150254.00885763846
6218,146791.91375751165
15306,174974.01868944272
11524,224405.18309299057
9976,171040.70024021406
14536,242981.7671695692
1721,209247.98153217864
7428,212127.88626134285
5856,211860.2537036685
15587,147842.2621135419
3570,146710.14606490015
7986,159530.70911941907
12341,200650.75020976557
4118,148818.35221629584
3946,219665.87738505742
52,298889.07655671064
12350,140408.74744742544
1142,158363.56992761855
9696,156514.3370561276
2472,204059.38938307145
12659,225381.5788895908
15101,248077.59118977597
7494,190887.31276843435
14395,178535.65699941188
10616,223074.5764847814
6313,209573.3978750578
4270,155888.500759518
14163,148943.90139903885
15472,205800.54153248869
516,149871.9555967805
1385,146352.46915008576
4881,204023.22280156508
9245,195810.92809375236
2990,145600.679091145
14758,145079.5761028186
11877,202629.29384457006
7340,270798.7221468398
6580,188225.9372427638
7228,238382.47557969112
6077,160421.37020750903
